iteration, added, total, selection, f1
24, 1579, 38611, top, 0.39321
25, 1394, 40005, top, 0.39273
26, 1469, 41474, top, 0.39269
27, 1544, 43018, top, 0.39250
28, 1376, 44394, top, 0.39229
29, 1523, 45917, top, 0.39246
30, 1458, 47375, top, 0.39260
31, 1466, 48841, top, 0.39267
32, 1266, 50107, top, 0.39244
33, 1448, 51555, top, 0.39414
34, 1745, 53300, top, 0.39522
35, 1711, 55011, top, 0.39521
36, 1547, 56558, top, 0.39569
37, 1633, 58191, top, 0.39350
38, 1324, 59515, top, 0.39317
39, 1668, 61183, top, 0.39330
40, 1596, 62779, top, 0.39659
41, 1439, 64218, top, 0.39616
42, 1548, 65766, top, 0.39608
43, 1311, 67077, top, 0.39648
44, 1690, 68767, top, 0.39565
45, 1599, 70366, top, 0.39592
46, 1565, 71931, top, 0.39592
47, 1394, 73325, top, 0.39613
48, 1603, 74928, top, 0.39661
49, 1676, 76604, top, 0.39677
50, 1460, 78064, top, 0.39748
1, 3832, 5080, entropy, 0.47064
2, 3200, 8280, entropy, 0.47277
3, 2963, 11243, entropy, 0.46113
4, 2847, 14090, entropy, 0.46623
5, 2767, 16857, entropy, 0.46896
6, 2604, 19461, entropy, 0.47146
7, 2521, 21982, entropy, 0.47286
8, 2399, 24381, entropy, 0.47058
9, 2353, 26734, entropy, 0.46991
10, 2309, 29043, entropy, 0.46995
11, 2263, 31306, entropy, 0.47312
12, 2250, 33556, entropy, 0.46910
13, 1768, 35324, entropy, 0.47042
14, 2115, 37439, entropy, 0.46948
15, 2063, 39502, entropy, 0.46967
16, 2005, 41507, entropy, 0.47151
17, 1980, 43487, entropy, 0.47064
18, 2001, 45488, entropy, 0.47140
19, 1870, 47358, entropy, 0.47172
20, 1920, 49278, entropy, 0.47143
21, 1780, 51058, entropy, 0.47157
22, 1846, 52904, entropy, 0.47332
23, 1780, 54684, entropy, 0.47388
24, 1799, 56483, entropy, 0.47432
25, 1726, 58209, entropy, 0.47432
26, 1721, 59930, entropy, 0.47520
27, 1679, 61609, entropy, 0.47646
28, 1604, 63213, entropy, 0.47636
29, 1717, 64930, entropy, 0.47577
30, 1620, 66550, entropy, 0.47580
31, 1611, 68161, entropy, 0.47584
32, 1569, 69730, entropy, 0.47638
33, 1435, 71165, entropy, 0.47577
34, 1514, 72679, entropy, 0.47632
35, 1532, 74211, entropy, 0.47649
36, 1498, 75709, entropy, 0.47690
37, 1483, 77192, entropy, 0.47720
38, 1456, 78648, entropy, 0.47774
39, 1367, 80015, entropy, 0.47804
40, 1393, 81408, entropy, 0.47732
41, 1425, 82833, entropy, 0.47733
42, 1397, 84230, entropy, 0.47770
43, 1371, 85601, entropy, 0.47821
44, 1353, 86954, entropy, 0.47847
45, 1306, 88260, entropy, 0.47813
46, 1290, 89550, entropy, 0.47837
47, 1252, 90802, entropy, 0.47857
48, 1227, 92029, entropy, 0.47850
49, 1213, 93242, entropy, 0.47855
50, 1191, 94433, entropy, 0.47976
